           TIME	           NODE	             XR	              Z	                 pH	             Na_mgL	             Cl_mgL	
              0	             36	      0.0735085	      0.0634766	  7.0867620099e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	             37	      0.0735085	        0.19043	  7.0910502497e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	             38	      0.0735085	       0.317383	  7.0953497389e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	             39	      0.0735085	       0.444336	  7.0996606208e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	             40	      0.0735085	       0.571289	  7.1039828823e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	             41	      0.0735085	       0.698242	  7.1083165099e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	             42	      0.0735085	       0.825195	  7.1126616484e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	             43	      0.0735085	       0.952148	  7.1170182496e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	             44	      0.0735085	         1.0791	  7.1213864061e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	             45	      0.0735085	        1.20605	  7.1257661225e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	             46	      0.0735085	        1.33301	  7.1301574925e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	             47	      0.0735085	        1.45996	  7.1345604674e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	             48	      0.0735085	        1.58691	  7.1389751949e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	             49	      0.0735085	        1.71387	  7.1434016624e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	             50	      0.0735085	        1.84082	  7.1478398568e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	             51	      0.0735085	        1.96777	  7.1522899273e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	             52	      0.0735085	        2.09473	  7.1567518252e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	             53	      0.0735085	        2.22168	  7.1612256464e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	             54	      0.0735085	        2.34863	  7.1657114145e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	             55	      0.0735085	        2.47559	  7.1702091717e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	             56	      0.0735085	        2.60254	  7.1747189419e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	             57	      0.0735085	        2.72949	  7.1792408041e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	             58	      0.0735085	        2.85645	  7.1837747827e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	             59	      0.0735085	         2.9834	  7.1875541506e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	             60	      0.0735085	        3.11035	  7.1913355049e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	             61	      0.0735085	         3.2373	  7.1951252503e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	             62	      0.0735085	        3.36426	  7.1990967827e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	             63	      0.0735085	        3.49121	  7.2039914219e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	             64	      0.0735085	        3.61816	  7.2089001021e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	             65	      0.0735085	        3.74512	  7.2140605376e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	             66	      0.0735085	        3.87207	  7.2192378366e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	             67	      0.0735085	        3.99902	  7.2244307740e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	             70	       0.220526	      0.0634766	  7.0868221256e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	             71	       0.220526	        0.19043	  7.0911105064e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	             72	       0.220526	       0.317383	  7.0954102068e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	             73	       0.220526	       0.444336	  7.0997212133e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	             74	       0.220526	       0.571289	  7.1040436348e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	             75	       0.220526	       0.698242	  7.1083774229e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	             76	       0.220526	       0.825195	  7.1127227226e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	             77	       0.220526	       0.952148	  7.1170794677e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	             78	       0.220526	         1.0791	  7.1214478041e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	             79	       0.220526	        1.20605	  7.1258276834e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	             80	       0.220526	        1.33301	  7.1302191990e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	             81	       0.220526	        1.45996	  7.1346223913e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	             82	       0.220526	        1.58691	  7.1390372476e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	             83	       0.220526	        1.71387	  7.1434638622e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	             84	       0.220526	        1.84082	  7.1479022402e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	             85	       0.220526	        1.96777	  7.1523524770e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	             86	       0.220526	        2.09473	  7.1568145417e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	             87	       0.220526	        2.22168	  7.1612885303e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	             88	       0.220526	        2.34863	  7.1657744664e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	             89	       0.220526	        2.47559	  7.1702723740e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	             90	       0.220526	        2.60254	  7.1743191351e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	             91	       0.220526	        2.72949	  7.1780710101e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	             92	       0.220526	        2.85645	  7.1818312357e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	             93	       0.220526	         2.9834	  7.1855998274e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	             94	       0.220526	        3.11035	  7.1893767912e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	             95	       0.220526	         3.2373	  7.1939759977e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	             96	       0.220526	        3.36426	  7.1988559416e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	             97	       0.220526	        3.49121	  7.2037525869e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	             98	       0.220526	        3.61816	  7.2088988145e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	             99	       0.220526	        3.74512	  7.2140605376e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            100	       0.220526	        3.87207	  7.2192378366e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            101	       0.220526	        3.99902	  7.2244307740e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            104	       0.367543	      0.0634766	  7.0868822609e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            105	       0.367543	        0.19043	  7.0911707828e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            106	       0.367543	       0.317383	  7.0954706420e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            107	       0.367543	       0.444336	  7.0997817905e+000	  0.0000000000e+000	  0.0000000000e+000	
